gene_id,R16b,T_M2,T_M4C,T_M5,T_M7,T_R11B,T_R15B,T_R9D
plut2.m8.8868,1194,539,0,96,141,375,210,0
plut2.m8.5895,754,1012,473,454,566,436,1005,404
plut2.m8.5894,4446,3117,2582,1661,4207,3129,6373,1983
plut2.m8.33459,172,1043,541,180,1308,239,213,189
plut2.m8.33458,348,39291,4043,4418,212384,0,3931,114
plut2.m8.3729,9,337,1427,284,951,22,49,521
plut2.m8.3728,2839,10367,54360,8516,39012,4260,5804,3381
jamg1.TU.Sc0000008.104,0,3,0,0,0,0,0,0
plut2.m8.3723,28067,24034,24925,9096,27082,20955,35461,23827
plut2.m8.3722,2219,5808,3068,1393,5730,1506,1848,1876
plut2.m8.33453,161,51,25,3,78,27,162,0
plut2.m8.33452,1261,5469,2269,257,5167,1913,576,294
plut2.m8.33455,30,68,39,0,0,23,67,9
plut2.m8.3726,26,16,30,10,29,0,9,19
plut2.m8.33457,20,10201,567,488,6349,216,50,1354
plut2.m8.3724,542,1283,2338,780,1548,483,976,364
plut2.m8.25827,0,126,110,86,7,10,0,18
plut2.m8.25826,10,0,0,0,142,32,0,14
plut2.m8.25825,9,0,62,131,263,0,0,0
plut2.m8.25824,0,0,2,15,25,0,1,1
plut2.m8.25823,968,93,1543,435,749,66,101,37
plut2.m8.25822,33,21,47,191,382,158,30,36
plut2.m8.25821,359,116,288,48,92,76,73,24
plut2.m8.25820,496,13,3232,4,7,0,0,0
plut2.m8.25829,1052,2081,7485,2095,2654,1139,1307,1754
plut2.m8.5761,30,34,35,48,40,1,0,6
plut2.m8.5760,0,0,3,0,0,0,0,5
plut2.m8.5763,0,4,0,3,2,0,15,0
plut2.m8.5762,8,35,36,0,71,0,16,7
plut2.m8.5765,0,6,12,3,10,0,0,0
plut2.m8.5764,0,38,0,34,34,0,17,36
plut2.m8.5767,0,0,0,0,0,0,0,0
jamg1.TU.Sc0000088.38,74,112,87,4,19,22,153,0
plut2.m8.5769,5,0,0,0,0,0,0,6
plut2.m8.5768,6,0,0,0,0,8,21,5
plut2.m8.18269,405,3227,2185,1204,3763,433,852,230
plut2.m8.18268,337,866,390,380,743,355,364,395
plut2.m8.18265,215,439,142,127,394,132,279,103
plut2.m8.18264,1947,2729,727,947,1662,564,707,204
plut2.m8.18267,54,338,223,200,781,386,780,579
plut2.m8.18266,616,1263,456,380,1565,336,373,589
plut2.m8.18261,768,1259,38,98,35,478,326,717
plut2.m8.18260,543,999,515,51,133,397,334,335
plut2.m8.18263,797,1575,757,652,1621,400,748,459
plut2.m8.18262,2362,988,533,982,290,468,1364,1075
jamg1.TU.Sc0000068.67,1,7,3,0,7,0,4,8
jamg1.TU.Sc0000040.11,2,4,3,5,7,0,3,3
jamg1.TU.xfSc0000002.6,4,1783,1545,164,1598,53,738,91
plut2.m8.9099,0,0,0,0,0,0,3,0
plut2.m8.9097,45,52,110,40,105,65,254,254
plut2.m8.9096,644,1575,1672,555,2089,457,831,365
plut2.m8.9095,54,214,94,83,268,69,130,103
plut2.m8.9094,985,1599,1933,1359,2652,1166,1346,555
plut2.m8.9093,5655,11082,28544,16120,8505,9670,12343,1438
plut2.m8.9092,264,870,291,176,740,160,645,323
plut2.m8.9091,894,168,9022,212,344,340,2637,426
plut2.m8.9090,827,1556,16670,968,2774,2085,3883,1336
jamg1.TU.xfSc0000381.3,0,0,0,5,0,0,1,0
jamg1.TU.xfSc0000381.2,16,11805,32775,16,3,0,0,0
jamg1.TU.xfSc0000381.4,0,0,2,3,0,0,1,0
plut2.m8.4380,8,24,5,11,0,0,53,285
plut2.m8.4381,2337,3292,1502,1138,2069,1376,2175,1543
plut2.m8.4382,6,47,29,10,14,0,0,6
plut2.m8.4383,0,0,0,0,0,0,0,85
plut2.m8.4384,0,0,10,0,0,0,0,114
plut2.m8.4385,0,0,0,0,0,0,0,0
plut2.m8.4386,20,48,34,8,101,30,90,4
plut2.m8.4387,23,21,0,0,22,0,84,41
plut2.m8.4388,37,154,89,20,48,0,134,22
plut2.m8.4389,0,0,0,0,0,0,0,0
plut2.m8.13248,1870,1398,33,58,327,2042,5827,178
plut2.m8.13249,25,0,0,0,0,0,6,0
plut2.m8.13243,1300,1782,1386,828,2845,794,1273,1252
plut2.m8.13240,1121,6771,5450,4175,5765,1331,2347,1377
plut2.m8.13241,41,76,53,91,126,81,68,64
plut2.m8.13246,1789,356,424,972,1570,1444,2391,481
plut2.m8.13247,779,418,271,640,1059,1134,2688,220
plut2.m8.13244,31550,91270,80834,42471,121023,48515,112958,48114
plut2.m8.13245,893,3169,1969,1015,3256,543,1592,832
plut2.m8.4072,51,172,177,53,145,54,114,73
jamg1.TU.Sc0000046.121,81,180,92,26,80,136,391,93
plut2.m8.4070,894,1174,866,716,1448,1244,3471,593
plut2.m8.4071,10,46,65,5,42,14,17,0
plut2.m8.4076,0,0,2,0,0,0,0,0
plut2.m8.1005,2158,6404,7240,3577,9071,1450,4043,818
jamg1.TU.Sc0000397.37,4908,1950,11505,1694,2570,5389,11140,5205
plut2.m8.1007,1996,8166,35596,5406,17069,1495,1994,2240
plut2.m8.4964,89,141,47,77,276,67,63,18
plut2.m8.4965,581,3656,2438,1732,4865,622,778,697
plut2.m8.4966,622,799,402,123,1664,697,347,2548
plut2.m8.4967,0,4,8,0,15,0,0,0
plut2.m8.4960,0,0,0,0,0,0,5,0
plut2.m8.4961,6246,9796,20770,4576,14445,4195,9096,3064
plut2.m8.4962,161,346,215,142,633,97,165,62
plut2.m8.19674,0,0,0,0,0,0,0,0
plut2.m8.4968,65,11,10,80,95,0,0,0
plut2.m8.4969,80,225,65,61,201,70,0,68
plut2.m8.8054,0,0,0,0,0,0,0,0
plut2.m8.8055,15,248,498,477,640,36,0,67
jamg1.TU.Sc0000638.9,296,68,4,37,18,374,153,73
plut2.m8.8050,37,0,0,0,0,36,40,0
plut2.m8.8051,37,0,0,0,6,38,42,20
plut2.m8.8052,0,0,17,0,20,0,0,0
plut2.m8.8053,0,0,0,0,0,0,0,0
plut2.m8.19671,212,495,478,289,686,248,583,274
plut2.m8.8058,0,765,596,16,1030,0,0,28
plut2.m8.8059,0,6,0,0,0,0,0,0
plut2.m8.19673,20,165,67,41,161,18,43,24
plut2.m8.14280,1705,1081,282,363,740,656,921,863
plut2.m8.6522,0,0,0,0,0,0,0,0
plut2.m8.6523,0,0,13,2,57,5,6,2
plut2.m8.6520,420,505,1040,666,799,285,2419,418
plut2.m8.6521,145,429,455,98,312,402,135,173
plut2.m8.6526,647,1811,3231,1135,2394,717,1550,554
plut2.m8.6527,2256,4719,4315,1223,4456,1378,1522,1236
plut2.m8.6524,0,0,0,0,524,108,0,0
plut2.m8.6525,373,851,771,391,1225,128,509,291
plut2.m8.6528,13025,16802,25269,7076,16090,8148,23943,8614
plut2.m8.6529,2948,3166,6267,1281,3633,2175,2645,1615
plut2.m8.26850,257,312,225,177,321,229,133,173
jamg1.TU.Sc0000200.45,61,194,74,84,195,23,27,23
plut2.m8.29818,1946,478,1388,536,436,263,396,724
plut2.m8.29819,224,143,64,30,108,294,61,148
plut2.m8.32193,83,502,492,220,738,430,72,288
plut2.m8.29812,2529,1768,889,1537,1360,465,861,412
plut2.m8.29813,1333,461,0,0,0,1342,1023,46
plut2.m8.29810,995,65,2403,125,158,177,119,206
plut2.m8.29811,359,687,1104,307,797,89,318,31
plut2.m8.29816,754,1813,557,852,907,551,715,290
plut2.m8.29817,858,538,345,73,422,596,733,292
plut2.m8.29814,4461,15945,6897,3663,17468,5058,5308,3071
plut2.m8.29815,277,134,43,31,95,115,191,68
jamg1.TU.xfSc0000217.13,9,3,3,9,13,1,4,2
plut2.m8.9879,0,460,204,17,204,360,57,0
plut2.m8.9878,0,1315,736,67,767,1478,388,10
plut2.m8.9874,0,0,26,14,2,0,0,1
plut2.m8.9877,1375,8705,6082,2690,10970,1354,3537,1366
plut2.m8.9876,0,12,0,0,0,94,111,0
plut2.m8.9871,0,0,39,0,15,0,0,23
plut2.m8.9870,174,140,1303,410,564,332,732,1068
plut2.m8.9873,451,639,3248,924,2333,672,1284,1256
plut2.m8.9872,0,2,0,2,0,0,22,0
plut2.m8.32441,13316,44133,34020,14103,55090,16624,25736,14991
plut2.m8.32443,419,1265,1238,447,1549,375,715,363
plut2.m8.32442,2573,6736,7473,2552,7812,2989,4437,2105
plut2.m8.32445,5563,9553,4388,46308,6860,2968,4931,4130
plut2.m8.32444,2051,4685,1734,1985,5410,2420,3148,4272
plut2.m8.32447,1066,2854,1993,1098,4437,670,1831,621
plut2.m8.32446,1049,1415,2385,1293,22,434,1047,7
plut2.m8.32449,2051,4244,3485,2289,5049,1472,2581,1511
plut2.m8.32448,0,26,0,0,0,0,0,0
plut2.m8.23883,70,53,63,60,71,44,49,48
plut2.m8.23882,0,2,0,0,0,0,0,0
plut2.m8.23881,57,112,90,78,328,38,160,126
plut2.m8.23880,6852,5624,3352,2677,4982,5516,7959,6131
plut2.m8.23886,12,22,26,22,36,121,88,39
plut2.m8.23885,19,39,49,5,50,1,77,17
plut2.m8.23884,1697,2928,924,3610,2260,1511,8106,3961
plut2.m8.23889,5651,6454,5006,5412,7737,4278,14077,10448
plut2.m8.23888,13,22,21,50,22,15,2,46
plut2.m8.11291,28,146,100,47,260,115,96,37
plut2.m8.29108,77,104,71,101,258,148,212,214
plut2.m8.29109,17,123,64,39,162,101,26,209
plut2.m8.29100,23,105,0,0,57,0,0,16
plut2.m8.29101,94,1480,2074,770,1953,160,142,168
plut2.m8.29102,1519,2465,2565,1230,3790,1237,2367,1552
plut2.m8.29103,16636,29063,39621,17086,44614,20148,39375,8638
plut2.m8.29104,323,1284,416,158,1094,177,26,450
plut2.m8.29105,54,320,98,91,305,158,43,1470
plut2.m8.29106,43,286,110,61,588,45,221,25
plut2.m8.29107,131,313,37,337,688,675,257,1049
jamg1.TU.Sc0000043.49,90,3602,699,735,461,0,58,0
jamg1.TU.Sc0000456.2,0,54,62,63,105,10,0,0
jamg1.TU.Sc0000456.3,1,93,72,33,117,10,0,0
jamg1.TU.Sc0000135.56,0,0,0,0,0,0,0,11
plut2.m8.10498,4389,13560,27624,11810,15296,5266,9980,3090
plut2.m8.10499,12620,11131,7590,6731,18191,8912,12235,11253
plut2.m8.10496,148,122,448,123,353,305,435,258
plut2.m8.10495,22,0,0,0,0,0,0,0
plut2.m8.10492,1307,3504,2998,1355,4815,2466,2573,1713
plut2.m8.10493,2638,7067,5972,2306,8402,2441,3818,2714
plut2.m8.10490,201,534,332,481,751,253,393,983
plut2.m8.10491,106,287,130,84,317,129,158,411
plut2.m8.17156,0,1,1,0,1,0,0,0
plut2.m8.17157,277,494,514,360,589,224,406,276
plut2.m8.17154,215,335,111,63,261,125,92,37
plut2.m8.17155,3499,6442,10468,2984,8386,4406,6477,2993
plut2.m8.17152,4857,4166,2399,1279,5197,2501,2908,1124
plut2.m8.17153,2095,5058,4063,2145,5774,1233,2884,893
plut2.m8.17150,0,2,0,0,0,0,0,0
plut2.m8.17151,271,2154,2326,910,2090,308,157,195
plut2.m8.12380,1445,2146,2243,1405,3221,1368,1768,826
plut2.m8.12381,13942,14203,7617,5216,12039,7301,10688,6312
plut2.m8.12382,4143,10387,9631,5510,15592,2751,2958,1194
plut2.m8.12383,19000,23542,5824,7561,22500,8898,9830,5641
